color,quantity,price,parentSku,productID,productName,sku,manufacture,outStockproductID,productRating,productRatingcount,productListPrice,productSalesPrice,size,primaryCategory,subCategory1,subCategory2,subCategory3,pageType,categoryId
,1,10.99,18051,5094367,Omega&amp;trade; One Freeze Dried Shrimp Fish Treat,OS-00311,0000001630,5094367,4.4545,11,10.99,10.99,0.92 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,15.99,42671,5267231,TetraPro&amp;trade; Tropical Color Crisps Fish Food Flakes,77079,0000001630,5267231,4.1714,35,15.99,15.99,2.65 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,9.99,73061,5332346,Cobalt&amp;trade; Aquatics Chichlid Flakes,28015,0000035058,5332346,5.0,1,9.99,9.99,1 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,11.99,58402,5300530,Fluval® Bug Bites Tropical Flakes,A7331,0000007225,5300530,4.9167,12,11.99,11.99,1.59 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,9.99,75510,5338010,Cobalt Guppy Granular Premium Sinking Fish Food,27118,0000035058,5338010,5.0,1,9.99,9.99,2.9 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,24.99,25996,5225040,Omega&amp;trade; One Garlic Marine Flake Fish Food,OS-01581,0000001630,5225040,5.0,3,24.99,24.99,5.3 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,18.99,81350,5349870,Fluval Bug Bites - Fish Food.,A6369,0000031915,5349870,,,18.99,18.99,3.5 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,7.99,73062,5332347,Cobalt&amp;trade; Betta Pellet Fish Food,28000,0000035058,5332347,3.0,5,7.99,7.99,1.2 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,9.99,73063,5332348,Cobalt&amp;trade; Algae Grazers Fish Food,28020,0000035058,5332348,5.0,1,9.99,9.99,2.3 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,19.99,75071,5337211,Nutrafin Max Tropical Fish Flakes - 180g/6oz,A6718,0000031915,5337211,5.0,1,19.99,19.99,6 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,24.99,59500,5301141,Tetra® TetraColor Tropical Flakes Fish Food,46766162,0000030304,5301141,5.0,1,24.99,24.99,7.06 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,10.99,58371,5300534,Omega&amp;trade; One Freeze Dried Brine Shrimp,OS-00321,0000001630,5300534,4.4242,33,10.99,10.99,0.67 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,13.99,34056,5175044,API® Tropical Mini Pellets,822A,0000001821,5175044,3.5,10,13.99,13.99,One Size,fish,Food &amp; Care,Food,,Product Detail,300113
,1,29.99,17400,5155704,Omega&amp;trade; One Cichilid Super Color Pellets Fish Food,OS-83531,0000001630,5155704,3.9615,26,29.99,29.99,16.25 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,11.99,17903,5139977,Nutrafin® Max Tropical Fish Flakes,A6702,0000032850,5139977,,,11.99,11.99,1.34 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,7.64,17944,5048221,Top Fin® Goldfish Flakes,77415,0000001630,5048221,4.3051,59,8.99,7.64,2.15 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,8.49,70499,5325450,Top Fin® 2-in-1 Color Mix - Tropical Color Flakes + Daphnia Treat,AQ-78585,0000001630,5325450,4.7436,39,9.99,8.49,2.01 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,7.99,17378,1031545,Nutrafin® basix Floating Goldfish Pellets,A7183,0000014539,1031545,5.0,1,7.99,7.99,3 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,29.99,17937,1031024,Tetra® TetraMin Tropical Flakes Fish Food,16106,0000001630,1031024,4.7667,120,29.99,29.99,7.06 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,4.99,17381,1031664,Nutrafin® basix Fish Feeder,A7531,0000014539,1031664,1.0,3,4.99,4.99,1.25 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,11.49,18083,1031415,San Francisco Bay Brand® Sally&#x27;s Frozen Mini-Bloodworms&amp;trade; Fish Food,88051,0000007139,1031415,3.5,4,11.49,11.49,3.5 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,9.99,17397,5080580,Omega&amp;trade; One Goldfish Pellets Fish Food,OS-02361,0000001630,5080580,3.95,20,9.99,9.99,One Size,fish,Food &amp; Care,Food,,Product Detail,300113
,1,21.99,17877,5163973,API® All Varieties Goldfish Flakes,834D,0000001821,5163973,3.1667,30,21.99,21.99,5.7 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,12.99,17913,5087743,Omega&amp;trade; One Super Color Tropical Fish Flakes,OS-91481,0000001630,5087743,3.8478,46,12.99,12.99,2.2 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,18.99,17888,5175382,Omega&amp;trade; One Freeze Dried Bloodworms Fish Treat,OS-00401,0000001630,5175382,4.3514,37,18.99,18.99,0.96 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,4.99,17382,1031665,Nutrafin® Basix 3 Day Fish Feeder,A7536,0000014539,1031665,3.0,2,4.99,4.99,0.9 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,7.99,18059,5139584,Nutrafin® Max Betta Colour Enhancing Flakes,A6780,0000014539,5139584,3.6667,3,7.99,7.99,0.85 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,24.99,17910,5087741,Omega&amp;trade; One Freshwater Flakes Fish Food,OS-01511,0000001630,5087741,4.55,60,24.99,24.99,5.3 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,6.99,36238,5251053,Fluval Bug Bites Tropical Fish Food,A6355,0000031915,5251053,4.7647,17,6.99,6.99,Medium/Large,fish,Food &amp; Care,Food,,Product Detail,300113
,1,12.99,58405,5300533,Omega&amp;trade; One Freeze Dried Bloodworms,OS-00301,0000001630,5300533,4.1667,12,12.99,12.99,0.46 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,69.99,3948,5133739,ZuPreem® FruitBlend Medium Bird Food,83120,0000023961,5133739,4.3636,11,69.99,69.99,12 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,20.99,41100,5261886,KAYTEE® FDPH Feather Conure/Lovebird Bird Food,100213697,0000001019,5261886,4.2,20,20.99,20.99,4 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,17.99,40493,5261651,ZuPreem® Pure Fun Enriching Variety Mix Bird Food,35020,0000023961,5261651,4.5714,7,17.99,17.99,2 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,14.99,56958,5289773,All Living Things® Oven Baked Bites Parakeet Diet,70029,0000032230,5289773,3.5238,21,14.99,14.99,14 Oz,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,19.99,58575,5292135,ZuPreem® NutBlend Flavor with Natural Nut Flavors Medium Pet Bird Food,85020,0000023961,5292135,4.5588,34,19.99,19.99,2 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,5.99,40128,5261405,Higgins Sunburst Leafy Greens and Herb Treats,32256,0000034165,5261405,4.6429,14,5.99,5.99,1 Oz,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,14.99,3934,5037237,Lafeber&#x27;s® Nutri-Berries Tropical Fruit Parakeet &amp; Cockatiel Food,82640,0000000103,5037237,4.7255,51,14.99,14.99,10 Oz,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,12.99,3996,5057315,Hagen Gourmet Canary Bird Food,B2380,0000031915,5057315,4.5,4,12.99,12.99,2.2 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,12.99,3918,5194523,Vitakraft® VitaSmart Parakeet Food,34493,0000000174,5194523,4.8182,11,12.99,12.99,2 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,20.99,54773,5291008,All Living Things® Seed &amp; Pellet Medley Cockatiel Diet,43438,0000030029,5291008,4.7045,44,20.99,20.99,3 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,15.99,53571,5289769,Great Choice® Fortified Conure Bird Food,37065,0000000174,5289769,4.5,16,15.99,15.99,4 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,26.99,54245,5291160,Vitakraft® VitaSmart Parrot Food,20035,0000000174,5291160,4.8,10,26.99,26.99,7 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,11.99,40739,5261885,KAYTEE® FDPH Feather Parakeet Bird Food,100213693,0000001019,5261885,4.6222,45,11.99,11.99,2 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,47.99,3924,1041187,Lafeber&#x27;s® Nutri-Berries Parrot Food,81652,0000000103,1041187,4.6875,48,47.99,47.99,52 Oz,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,24.99,56961,5289781,All Living Things® Oven Baked Bites Parrot Diet,70027,0000032230,5289781,4.5,12,24.99,24.99,1.75 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,11.99,54775,5291011,All Living Things® Seed &amp; Pellet Medley Finch &amp; Canary Diet,43437,0000030029,5291011,4.6133,75,11.99,11.99,2 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,19.99,56963,5291159,Vitakraft® VitaSmart Conure &amp; Small Parrot Food,20033,0000000174,5291159,4.625,8,19.99,19.99,4 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,22.99,65939,5313984,ZuPreem® NutriSmart Medium &amp; Large Bird Food,43020,0000023961,5313984,4.375,8,22.99,22.99,2.5 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,17.99,65941,5313996,ZuPreem® NutriSmart Small Bird Diet,41020,0000023961,5313996,4.8,5,17.99,17.99,2 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,27.99,3947,5146774,ZuPreem® FruitBlend Large Bird Food,84030,0000023961,5146774,4.5625,32,27.99,27.99,3.5 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,32.99,3985,5057330,Hagen Gourmet Small Parrot Bird Food,B2813,0000031915,5057330,4.0,7,32.99,32.99,4.4 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,10.99,40096,5261392,Higgins Sunburst Gourmet Blend Parakeet Food,30228,0000034165,5261392,4.6809,47,10.99,10.99,2 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,22.99,40092,5261389,Higgins Sunburst Gourmet Blend Parrot Food,30234,0000034165,5261389,4.0769,13,22.99,22.99,3 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,19.99,3946,5146788,ZuPreem® FruitBlend Medium Bird Food,82020,0000023961,5146788,4.7333,105,19.99,19.99,2 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,23.99,3960,5057273,ZuPreem® Natural Medium Bird Food,92200,0000023961,5057273,4.7576,33,23.99,23.99,2.5 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,27.99,18199,5146732,ZuPreem® FruitBlend Medium Bird Food,83030,0000023961,5146732,4.75,28,27.99,27.99,3.5 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,30.99,32515,5242050,Tropican® Lifetime Formula Parrot Food,80521,0000031915,5242050,5.0,2,30.99,30.99,One Size,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,29.99,32517,5242052,Tropican® Lifetime Formula Parrot Food,80531,0000031915,5242052,4.3333,3,29.99,29.99,One Size,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,12.99,3993,1041532,Hagen Gourmet Budgie Parakeet Bird Seed,B2791,0000031915,1041532,5.0,4,12.99,12.99,2.2 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,14.99,28259,5232586,Vitakraft® Egg Food Supplement,34735,0000000174,5232586,5.0,13,14.99,14.99,1.1 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,10.49,53569,5289766,Great Choice® Fortified Canary &amp; Finch Bird Food,37096,0000000174,5289766,3.3333,9,10.49,10.49,2 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,19.99,58576,5292136,ZuPreem® PastaBlend Medium Pet Bird Food,87020,0000023961,5292136,4.0,3,19.99,19.99,2 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
,1,32.99,3990,5057316,Hagen Gourmet Large Parrot Bird Food,B2821,0000031915,5057316,2.25,4,32.99,32.99,4 Lb,bird,Food &amp; Treats,Pet Bird Food,,Product Detail,400110
